Trial,Step,Censored_Node,Avg_RTT,Packet_Loss
9,41,n39,0,100
9,42,n0,0,100
9,43,n31,0,100
9,44,n21,0,100
9,45,n25,0,100
9,46,n8,0,100
9,47,n35,0,100
9,48,n47,0,100
10,0,None,117.801,0
10,1,n0,118.05,0
10,2,n36,117.644,0
10,3,n16,118.51,0
10,4,n39,117.559,0
10,5,n30,116.875,0
10,6,n13,118.516,0
10,7,n32,118.078,0
10,8,n47,117.31,0
10,9,n23,117.812,0
10,10,n3,118.764,0
10,11,n15,115.549,0
10,12,n37,117.468,0
10,13,n12,118.539,0
10,14,n20,118.956,0
10,15,n9,117.561,0
10,16,n24,118.48,0
10,17,n38,118.295,0
10,18,n21,115.542,0
10,19,n45,118.241,0
10,20,n27,118.003,0
10,21,n31,117.943,0
10,22,n28,116.136,0
10,23,n18,117.878,0
10,24,n14,117.916,0
10,25,n2,116.606,0
10,26,n43,118.229,0
10,27,n49,117.717,0
10,28,n8,118.196,0
10,29,n44,118.991,0
10,30,n33,117.36,0
10,31,n5,118.273,0
10,32,n1,0,100
10,33,n42,0,100
10,34,n6,0,100
10,35,n48,0,100
10,36,n46,0,100
10,37,n35,0,100
10,38,n19,0,100
10,39,n10,0,100
10,40,n25,0,100
10,41,n41,0,100
10,42,n4,0,100
10,43,n29,0,100
10,44,n26,0,100
10,45,n7,0,100
10,46,n17,0,100
10,47,n40,0,100
10,48,n34,0,100
